,segment_id,count,length,speed,emission_rate
0,1000000112,22,117.3292,23.5,634.140625
1,1000000113,86,668.7764,42.5,419.53125
2,1000019715,0,19.5209,14.16666667,885.4166667
3,1000019716,0,18.2689,14.16666667,885.4166667
4,1000019717,0,36.2353,9.071428571,1100
5,1000019718,0,10.4194,9.071428571,1100
6,1000019719,0,122.8291,32.25,493.203125
7,1000019720,0,54.7122,17.25,708.125
8,1000019721,0,17.0389,15.5,808.75
9,1000019722,0,94.638,20.83333333,662.890625
10,1000019723,0,25.9174,21.5,655.703125
11,1000019724,0,79.9036,15,837.5
12,1000019725,0,110.6519,24.25,626.0546875
13,1000019726,0,163.2655,25.3,607.890625
14,1000019727,0,13.1744,50,393.125
15,1000019737,0,45.4066,31.25,500.9765625
16,1000044982,38,504.5419,46.7,397.86875
17,1000050853,0,299.448,61.75,369.3515625
18,1000050854,0,213.1502,48,396
19,1000058305,0,21.2351,50,393.125
20,1000060329,16,70.5838,7,1100
21,1000064639,6,65.8577,46.5,398.15625
22,1000087098,0,51.3981,50,393.125
23,1000087099,0,91.2311,35.16666667,472.2395833
24,1000087100,0,144.3479,34.16666667,479.4270833
25,1000087101,0,10.1559,20,671.875
26,1000087102,0,38.2901,20,671.875
27,1000087103,0,181.2696,50.25,392.765625
28,1000087104,0,27.0953,35.25,471.640625
29,1000087105,0,28.8178,50,393.125
30,1000096219,3,25.4946,16.14285714,771.7857143
31,1000096220,7,44.6655,16.14285714,771.7857143
32,1000096221,3,16.4331,16.14285714,771.7857143
33,1000096222,3,11.2189,16.14285714,771.7857143
34,1000096223,10,43.3861,16.14285714,771.7857143
35,1000096224,18,54.2307,16.14285714,771.7857143
36,1000096225,38,150.181,23.26923077,636.6286058
37,1000096226,14,53.1603,15.95454545,782.6136364
38,1000096233,12,138.9755,24.54545455,621.4488636
39,1000096257,28,417.7984,23.3,636.296875
40,1000107768,0,71.466,31.5,498.59375
41,1000107769,0,78.5718,10.5,1096.25
42,1000107770,0,130.1844,42,423.125
43,1000107771,0,8.3356,24.5,622.265625
44,1000107772,0,19.6865,24.5,622.265625
45,1000107773,0,168.4663,4.5,1100
46,1000107774,0,19.4252,3.3,1100
47,1000107775,0,90.367,12.3,992.75
48,1000107776,0,143.9206,14.3,877.75
49,1000107777,0,17.1254,5.5,1100
50,1000107778,0,40.1074,50,393.125
51,1000107779,0,39.9732,50,393.125
52,1000115120,0,27.9948,27.1,575.546875
53,1000115121,0,509.6811,16.3,762.75
54,1000124233,57,219.4541,12.83333333,962.0833333
55,1000124234,2,270.251,23.25,636.8359375
56,1000124236,103,320.6787,9.25,1100
57,1000124237,37,136.6391,18.55882353,687.4126838
