wkt_geom,id,join_segment_id,join_length,distance
Point (120.98444256030970223 14.65732940426770092),,1000358026,0.0012,1.34E-05
Point (120.9844889774056611 14.65730246035419526),,1000358026,0.0012,4.09E-05
Point (120.98462358698392904 14.6573159323113611),,1000358026,0.0012,2.91E-05
Point (120.98467464578948238 14.65726204447773284),,1000358026,0.0012,8.37E-05
Point (120.98477676340058906 14.65732491361567646),,1000358026,0.0012,2.21E-05
Point (120.98485567246369499 14.65730695100666381),,1000358026,0.0012,4.10E-05
Point (120.98494386494600406 14.65732491361567646),,1000358026,0.0012,2.42E-05
Point (120.98501813229954394 14.65726204447773284),,1000358026,0.0012,8.79E-05
Point (120.98513881674900006 14.65722162859379196),,1000358026,0.0012,0.000129866
Point (120.98518755469976327 14.65725306317082222),,1000358026,0.0012,9.90E-05
Point (120.98524789692450554 14.65733164959367407),,1000358026,0.0012,2.12E-05
Point (120.9853152017136324 14.65732266828962516),,1000358026,0.0012,3.10E-05
Point (120.98536858137397587 14.65726428980438101),,1000358026,0.0012,9.01E-05
Point (120.98540571505076002 14.65730470568044908),,1000358026,0.0012,5.01E-05
Point (120.98556585403180463 14.6572463271904212),,1000358025,0.0006,0.000110452
Point (120.98563547967570742 14.65732715894170113),,1000358025,0.0006,3.05E-05
Point (120.98568421762647063 14.65729796970162369),,1000358025,0.0006,6.02E-05
Point (120.98576776839919944 14.6573159323113611),,1000358025,0.0006,4.33E-05
Point (120.98577008925398957 14.65726204447773284),,1000358025,0.0006,9.72E-05
Point (120.98577241010879391 14.65722162859379196),,1000358025,0.0006,0.000137622
Point (120.98588149028428518 14.65725081784404793),,1000358025,0.0006,0.000109741
Point (120.98595807849260098 14.65729572437530592),,1000358025,0.0006,6.58E-05
Point (120.98591862396104091 14.65732266828962516),,1000358025,0.0006,3.83E-05
Point (120.98612518003804439 14.65736083882926089),,1000358024,0.0016,2.34E-06
Point (120.9861599928600242 14.65731144165907018),,1000358024,0.0016,5.20E-05
Point (120.98625514790671787 14.65731144165907018),,1000358024,0.0016,5.29E-05
Point (120.98624122277793447 14.65725755382432283),,1000358024,0.0016,0.000106642
Point (120.98641528688776248 14.65725979915103494),,1000358024,0.0016,0.000105935
Point (120.98656150074000948 14.65734736687485551),,1000358024,0.0016,1.97E-05
Point (120.9866520140771371 14.65727776176390229),,1000358024,0.0016,9.01E-05
Point (120.98731113683967919 14.65736308415491607),,1000358024,0.0016,1.06E-05
Point (120.98728096572732227 14.65732266828962516),,1000358024,0.0016,5.07E-05
Point (120.98742717957956927 14.65736982013173062),,1000358024,0.0016,4.86E-06
Point (120.98751073035231229 14.65736083882926089),,1000358024,0.0016,1.46E-05
Point (120.98747359667558499 14.65726878045765247),,1000358024,0.0016,0.000106305
Point (120.98765926505939206 14.65726428980438101),,1000358023,0.0005,0.000111978
Point (120.9885783235592811 14.65731144165907018),,1000358022,0.002,6.64E-05
Point (120.98845067654541197 14.65733838557145496),,1000358022,0.002,3.92E-05
Point (120.98862474065523998 14.65727551643736781),,1000358022,0.002,0.000102432
Point (120.98872685826634665 14.65737206545729876),,1000358022,0.002,6.12E-06
Point (120.98880576732946679 14.65739676403695491),,1000358022,0.002,1.84E-05
Point (120.98898447314888926 14.65740125468750321),,1000358022,0.002,2.25E-05
Point (120.98906106135720506 14.65735410285216567),,1000358022,0.002,2.49E-05
Point (120.98919799179029155 14.6574057453379627),,1000358022,0.002,2.65E-05
Point (120.99021452619169281 14.65738553741019068),,1000358021,0.0003,1.60E-06
Point (120.9902354138848608 14.65735185752642167),,1000358021,0.0003,3.30E-05
Point (120.99041876141390617 14.65737431078284025),,1000358021,0.0003,1.89E-05
Point (120.99056729612091488 14.65731368698522097),,1000358020,0.0005,8.06E-05
Point (120.99064388432924488 14.65731368698522097),,1000358020,0.0005,8.07E-05
Point (120.99071670114851429 14.65731509031406254),,1000358020,0.0005,7.94E-05
Point (120.99077008080882933 14.65731845830323188),,1000358020,0.0005,7.61E-05
Point (120.99088148183912494 14.6573386662371874),,1000358020,0.0005,5.60E-05
Point (120.99089772782272689 14.65736224215779515),,1000358020,0.0005,3.24E-05
Point (120.9909046903871257 14.65731172232483992),,1000358020,0.0005,8.30E-05
Point (120.99095923047488554 14.65731396765098005),,1000358019,0.0008,8.10E-05
Point (120.99099404329683694 14.65737683677403602),,1000358019,0.0008,1.84E-05
Point (120.99103929996537943 14.6573162129771184),,1000358019,0.0008,7.93E-05
Point (120.99111240689151714 14.6573162129771184),,1000358019,0.0008,7.97E-05
Point (120.99121800578483032 14.65731733564017603),,1000358019,0.0008,7.93E-05
Point (120.99120872236561297 14.65740041269052263),,1000358019,0.0008,3.86E-06
Point (120.99127486672736609 14.65738020476226566),,1000358019,0.0008,1.68E-05
Point (120.99135377579047201 14.65737122346021515),,1000358019,0.0008,2.62E-05
Point (120.99130619826712518 14.65734877020347859),,1000358019,0.0008,4.84E-05
Point (120.99128298971916706 14.65731733564017603),,1000358019,0.0008,7.97E-05
Point (120.99140599502344173 14.65732182629235325),,1000358019,0.0008,7.60E-05
Point (120.9914489308371941 14.65735101552924924),,1000358019,0.0008,4.70E-05
Point (120.99149070622353008 14.65740265801578346),,1000358019,0.0008,4.35E-06
Point (120.99152087733591543 14.65738132742499289),,1000358019,0.0008,1.72E-05
Point (120.99152319819071977 14.65735101552924924),,1000358019,0.0008,4.75E-05
Point (120.99152203776330339 14.65731845830323188),,1000358019,0.0008,8.00E-05
Point (120.99163459922101538 14.65737908209952778),,1000358019,0.0008,2.01E-05
Point (120.99164736392241082 14.65734540221476578),,1000358019,0.0008,5.39E-05
Point (120.99171002700194322 14.65734877020347859),,1000358018,0.0007,5.08E-05
Point (120.9917518023882792 14.6573757141112857),,1000358018,0.0007,2.37E-05
Point (120.99182606974180487 14.65734989286637102),,1000358018,0.0007,4.92E-05
Point (120.99183535316102223 14.65739929002789843),,1000358018,0.0007,2.63E-07
