wkt_geom,segment_id,length
"LineString (121.02512029999999754 14.54658049999999925, 121.0259348000000017 14.54728410000000061)",1000000112,117.3292
"LineString (121.0259348000000017 14.54728410000000061, 121.02666370000000029 14.54781730000000017, 121.02884040000000709 14.54970250000000043, 121.02961290000000361 14.55035050000000041, 121.03068550000000414 14.55116759999999942)",1000000113,668.7764
"LineString (121.00077140000000497 14.53739889999999946, 121.0009522000000004 14.53740939999999959)",1000019715,19.5209
"LineString (121.0009522000000004 14.53740939999999959, 121.00112140000000238 14.53741929999999982)",1000019716,18.2689
"LineString (121.00112140000000238 14.53741929999999982, 121.00145700000000204 14.53743889999999972)",1000019717,36.2353
"LineString (121.00145700000000204 14.53743889999999972, 121.00155259999999657 14.5374528999999999)",1000019718,10.4194
"LineString (121.00155259999999657 14.5374528999999999, 121.00268149999999423 14.53760499999999922)",1000019719,122.8291
"LineString (121.00268149999999423 14.53760499999999922, 121.00318439999999498 14.53767239999999994)",1000019720,54.7122
"LineString (121.00318439999999498 14.53767239999999994, 121.00334089999999776 14.53769420000000068)",1000019721,17.0389
"LineString (121.00334089999999776 14.53769420000000068, 121.00412070000000142 14.53780279999999969, 121.00421059999999329 14.5378115999999995)",1000019722,94.638
"LineString (121.00421059999999329 14.5378115999999995, 121.00444810000000473 14.53784830000000028)",1000019723,25.9174
"LineString (121.00444810000000473 14.53784830000000028, 121.00518769999999336 14.53789820000000077)",1000019724,79.9036
"LineString (121.00518769999999336 14.53789820000000077, 121.00620480000000612 14.5380344000000008)",1000019725,110.6519
"LineString (121.00620480000000612 14.5380344000000008, 121.00770550000000014 14.53823550000000075)",1000019726,163.2655
"LineString (121.00770550000000014 14.53823550000000075, 121.00782660000000135 14.5382517)",1000019727,13.1744
"LineString (121.01905139999999506 14.54164500000000082, 121.01941899999999919 14.54184550000000087)",1000019737,45.4066
"LineString (121.05776679999999601 14.59068180000000048, 121.05920179999999675 14.59502239999999951)",1000044982,504.5419
"LineString (121.01482369999999378 14.53955640000000038, 121.0156534999999991 14.53987249999999953, 121.01646350000000041 14.54020359999999989, 121.01737420000000611 14.54062670000000068)",1000050853,299.448
"LineString (121.01737420000000611 14.54062670000000068, 121.01778199999999686 14.54084390000000049, 121.01828319999999906 14.5411406000000003, 121.01905139999999506 14.54164500000000082)",1000050854,213.1502
"LineString (121.00057440000000497 14.53740200000000016, 121.00077140000000497 14.53739889999999946)",1000058305,21.2351
"LineString (121.03068550000000414 14.55116759999999942, 121.03120140000000049 14.55156060000000018)",1000060329,70.5838
"LineString (121.05920179999999675 14.59502239999999951, 121.0594284000000016 14.59557520000000075)",1000064639,65.8577
"LineString (121.00809150000000614 14.5382870999999998, 121.00847500000000423 14.53833850000000005, 121.00856229999999414 14.53835890000000042)",1000087098,51.3981
"LineString (121.00856229999999414 14.53835890000000042, 121.00940140000000156 14.53846749999999943)",1000087099,91.2311
"LineString (121.00940140000000156 14.53846749999999943, 121.01072829999999669 14.53864470000000075)",1000087100,144.3479
"LineString (121.01072829999999669 14.53864470000000075, 121.0108208999999988 14.53866170000000047)",1000087101,10.1559
"LineString (121.0108208999999988 14.53866170000000047, 121.01117379999999457 14.53870159999999956)",1000087102,38.2901
"LineString (121.01117379999999457 14.53870159999999956, 121.0128325000000018 14.53897270000000042)",1000087103,181.2696
"LineString (121.0128325000000018 14.53897270000000042, 121.01307889999999645 14.53902129999999993)",1000087104,27.0953
"LineString (121.00782660000000135 14.5382517, 121.00809150000000614 14.5382870999999998)",1000087105,28.8178
"LineString (121.04626050000000248 14.56891429999999943, 121.04632709999999918 14.5691354000000004)",1000096219,25.4946
"LineString (121.04632709999999918 14.5691354000000004, 121.0464592999999951 14.56951800000000041)",1000096220,44.6655
"LineString (121.0464592999999951 14.56951800000000041, 121.04649899999999718 14.56966139999999932)",1000096221,16.4331
"LineString (121.04649899999999718 14.56966139999999932, 121.04652609999999413 14.56975929999999941)",1000096222,11.2189
"LineString (121.04652609999999413 14.56975929999999941, 121.04663279999999759 14.57013740000000013)",1000096223,43.3861
"LineString (121.04663279999999759 14.57013740000000013, 121.04676619999999332 14.57061000000000028)",1000096224,54.2307
"LineString (121.04676619999999332 14.57061000000000028, 121.04698940000000107 14.57143169999999976, 121.04720559999999807 14.57189329999999927)",1000096225,150.181
"LineString (121.04720559999999807 14.57189329999999927, 121.04741040000000396 14.57233040000000024)",1000096226,53.1603
"LineString (121.04590539999999521 14.56770679999999984, 121.04626050000000248 14.56891429999999943)",1000096233,138.9755
"LineString (121.05227030000000354 14.57914760000000065, 121.05397449999999537 14.58157220000000009, 121.05413729999999362 14.58181620000000045, 121.05444319999999436 14.58227469999999926)",1000096257,417.7984
"LineString (120.9929709000000031 14.53704950000000018, 120.99361720000000275 14.53719390000000011)",1000107768,71.466
"LineString (120.99361720000000275 14.53719390000000011, 120.99432670000000201 14.53735709999999948)",1000107769,78.5718
"LineString (120.99432670000000201 14.53735709999999948, 120.99499169999999992 14.53752620000000029, 120.99520699999999351 14.5375659000000006, 120.99550670000000707 14.53759780000000035)",1000107770,130.1844
"LineString (120.99550670000000707 14.53759780000000035, 120.99558330000000694 14.53760819999999931)",1000107771,8.3356
"LineString (120.99558330000000694 14.53760819999999931, 120.99576580000000092 14.53761560000000053)",1000107772,19.6865
"LineString (120.99576580000000092 14.53761560000000053, 120.9966936000000004 14.53765010000000046, 120.99732819999999833 14.5376467999999992)",1000107773,168.4663
"LineString (120.99732819999999833 14.5376467999999992, 120.99750790000000222 14.53763329999999954)",1000107774,19.4252
"LineString (120.99750790000000222 14.53763329999999954, 120.99834380000000067 14.53756959999999943)",1000107775,90.367
"LineString (120.99834380000000067 14.53756959999999943, 120.99967479999999398 14.53746480000000041)",1000107776,143.9206
"LineString (120.99967479999999398 14.53746480000000041, 120.99983330000000592 14.53745389999999915)",1000107777,17.1254
"LineString (120.99983330000000592 14.53745389999999915, 121.00020449999999528 14.53742830000000019)",1000107778,40.1074
"LineString (121.00020449999999528 14.53742830000000019, 121.00057440000000497 14.53740200000000016)",1000107779,39.9732
"LineString (121.01941899999999919 14.54184550000000087, 121.01963809999999455 14.54198139999999917)",1000115120,27.9948
"LineString (121.01963809999999455 14.54198139999999917, 121.02005889999999511 14.54230540000000005, 121.0204073999999963 14.54257819999999946, 121.02165279999999825 14.54362030000000061, 121.02324769999999887 14.54495670000000018)",1000115121,509.6811
"LineString (121.03120140000000049 14.55156060000000018, 121.03272699999999418 14.55287429999999915)",1000124233,219.4541
"LineString (121.02324769999999887 14.54495670000000018, 121.02380759999999782 14.54547059999999981, 121.02512029999999754 14.54658049999999925)",1000124234,270.251
"LineString (121.03272699999999418 14.55287429999999915, 121.03381269999999859 14.55380249999999975, 121.03466129999999623 14.55453179999999946, 121.03483719999999835 14.5546830000000007, 121.03496069999999918 14.5547891000000007)",1000124236,320.6787
"LineString (121.03496069999999918 14.5547891000000007, 121.03549719999999468 14.5552147999999999, 121.03564670000000092 14.55534059999999918, 121.03593209999999658 14.55558249999999987)",1000124237,136.6391
"LineString (121.03593209999999658 14.55558249999999987, 121.03661830000000066 14.55614929999999951, 121.0368194999999929 14.55636999999999937)",1000124238,129.6192
"LineString (121.0368194999999929 14.55636999999999937, 121.03712889999999902 14.55662210000000023)",1000124239,43.4724
"LineString (121.03712889999999902 14.55662210000000023, 121.03751219999999478 14.55694880000000069)",1000124240,54.8906
"LineString (121.03751219999999478 14.55694880000000069, 121.03790419999999983 14.55728279999999941)",1000124241,56.128
"LineString (121.03790419999999983 14.55728279999999941, 121.03819169999999872 14.55752799999999958)",1000124242,41.1827
"LineString (121.03819169999999872 14.55752799999999958, 121.03857589999999789 14.5578555999999999)",1000124243,55.029
"LineString (121.03857589999999789 14.5578555999999999, 121.03896749999999827 14.55818460000000059)",1000124244,55.7326
"LineString (121.03896749999999827 14.55818460000000059, 121.03938569999999686 14.55853469999999916)",1000124245,59.4281
"LineString (121.03938569999999686 14.55853469999999916, 121.04015520000000095 14.55921209999999988)",1000124246,111.7789
"LineString (121.04015520000000095 14.55921209999999988, 121.04060280000000205 14.55956770000000056)",1000124247,62.2481
"LineString (121.04060280000000205 14.55956770000000056, 121.04111059999999611 14.55997179999999958)",1000124248,70.6672
"LineString (121.04111059999999611 14.55997179999999958, 121.04151880000000574 14.5603043999999997)",1000124249,57.3536
"LineString (121.04151880000000574 14.5603043999999997, 121.04216710000000035 14.56082480000000068, 121.04250340000000108 14.56111929999999965, 121.04297400000000096 14.56155900000000081)",1000124250,209.5484
"LineString (121.04297400000000096 14.56155900000000081, 121.04381840000000636 14.56255209999999956, 121.04396930000000054 14.56273179999999989, 121.04439510000000269 14.56343859999999957)",1000124251,259.0269
"LineString (121.04439510000000269 14.56343859999999957, 121.04466410000000565 14.56390380000000029, 121.04499149999999474 14.5647240999999994)",1000124252,156.452
"LineString (121.04499149999999474 14.5647240999999994, 121.04514709999999411 14.56511090000000053, 121.04528299999999774 14.56551070000000081)",1000124253,92.562
"LineString (121.04528299999999774 14.56551070000000081, 121.04562810000000184 14.56657790000000041, 121.04566649999999584 14.56675019999999954)",1000124254,143.3059
"LineString (121.04566649999999584 14.56675019999999954, 121.04578019999999583 14.56718910000000022)",1000124255,50.0838
"LineString (121.04578019999999583 14.56718910000000022, 121.04590539999999521 14.56770679999999984)",1000124256,58.8482
"LineString (121.0594284000000016 14.59557520000000075, 121.05948979999999437 14.59578489999999995)",1000124268,24.127
"LineString (121.05948979999999437 14.59578489999999995, 121.05963950000000295 14.59633479999999928, 121.05987120000000345 14.59766370000000002, 121.05985090000000071 14.59961239999999982)",1000124269,427.7104
"LineString (121.05985090000000071 14.59961239999999982, 121.0598313999999931 14.59975700000000032)",1000124270,16.1366
"LineString (121.0598313999999931 14.59975700000000032, 121.05970360000000596 14.60039659999999984)",1000124271,72.0957
"LineString (121.05970360000000596 14.60039659999999984, 121.05956890000000215 14.60110069999999993)",1000124272,79.2454
"LineString (121.05956890000000215 14.60110069999999993, 121.05948709999999835 14.60133450000000011)",1000124273,27.329
"LineString (121.05728619999999296 14.58919490000000074, 121.05750580000000127 14.5899353000000005, 121.05776679999999601 14.59068180000000048)",1000124282,172.5233
"LineString (121.05128999999999451 14.57769739999999992, 121.05154310000000351 14.57816610000000068, 121.05227030000000354 14.57914760000000065)",1000124283,192.5117
"LineString (121.05444319999999436 14.58227469999999926, 121.05502730000000611 14.58321199999999962, 121.05525020000000325 14.58357909999999968, 121.05555139999999881 14.58422069999999948, 121.0556868000000037 14.58440440000000038)",1000124292,271.5773
"LineString (121.0556868000000037 14.58440440000000038, 121.05580750000000023 14.58471669999999953)",1000128235,36.921
"LineString (121.05580750000000023 14.58471669999999953, 121.05585390000000245 14.58484349999999985)",1000128236,14.894
"LineString (121.05585390000000245 14.58484349999999985, 121.05604390000000592 14.5853786999999997)",1000128237,62.6564
"LineString (121.05604390000000592 14.5853786999999997, 121.05611319999999864 14.58559430000000035)",1000128238,24.9965
"LineString (121.05611319999999864 14.58559430000000035, 121.05620759999999336 14.58586009999999966)",1000128239,31.1188
"LineString (121.05620759999999336 14.58586009999999966, 121.05656380000000638 14.58696680000000079)",1000128240,128.3251
"LineString (121.05656380000000638 14.58696680000000079, 121.05694289999999569 14.58805109999999949, 121.05728619999999296 14.58919490000000074)",1000128241,258.5868
"LineString (121.01307889999999645 14.53902129999999993, 121.01360230000000229 14.53917840000000083, 121.01420310000000313 14.53934989999999949, 121.01482369999999378 14.53955640000000038)",1000131410,197.185
"LineString (121.04741040000000396 14.57233040000000024, 121.04748979999999392 14.57248710000000003)",1000147993,19.3343
"LineString (121.04748979999999392 14.57248710000000003, 121.04777040000000454 14.57300140000000077)",1000147994,64.4395
"LineString (121.04777040000000454 14.57300140000000077, 121.04836469999999338 14.57379240000000031, 121.0485922999999957 14.57409539999999915, 121.04898300000000688 14.57462330000000073)",1000147995,221.9893
"LineString (121.04898300000000688 14.57462330000000073, 121.05004950000000008 14.57604289999999914)",1000147996,194.626
"LineString (121.05004950000000008 14.57604289999999914, 121.05051079999999786 14.57666069999999969)",1000147997,84.5198
"LineString (121.05051079999999786 14.57666069999999969, 121.05128999999999451 14.57769739999999992)",1000147998,142.1533
"LineString (121.04405540000000485 14.63431319999999936, 121.04380519999999422 14.63473830000000042)",1000160893,54.2112
"LineString (121.04380519999999422 14.63473830000000042, 121.04221880000000056 14.63723959999999913)",1000160894,325.2726
"LineString (121.04221880000000056 14.63723959999999913, 121.04148240000000669 14.63843840000000007)",1000160895,154.5552
"LineString (121.04148240000000669 14.63843840000000007, 121.04045519999999669 14.63993750000000027)",1000160896,199.3933
"LineString (121.04045519999999669 14.63993750000000027, 121.03944579999999576 14.64145030000000069)",1000160897,199.6045
"LineString (121.00192629999999383 14.65746230000000061, 121.00164100000000644 14.65746030000000033)",1000160898,30.7333
"LineString (121.04644980000000487 14.62981000000000087, 121.04599120000000312 14.63079360000000051, 121.04501299999999731 14.6328554000000004, 121.04405540000000485 14.63431319999999936)",1000219322,562.2812
"LineString (121.05317549999999471 14.61515119999999968, 121.05223800000000267 14.61714740000000035)",1000242129,242.8696
"LineString (121.05565819999999633 14.6098151000000005, 121.05462389999999573 14.61202079999999981)",1000243728,268.2884
"LineString (121.05378559999999766 14.61397380000000013, 121.05368249999999364 14.61400929999999931, 121.05360570000000564 14.61417390000000083, 121.05364249999999515 14.61427270000000078)",1000252121,43.4144
"LineString (121.05002709999999411 14.62196299999999916, 121.04917450000000656 14.62384100000000053, 121.04909829999999715 14.62411939999999966)",1000256011,259.0678
"LineString (121.01981949999999699 14.65792800000000007, 121.01944760000000656 14.65790310000000041, 121.01943459999999675 14.65779299999999985)",1000256709,52.4178
"LineString (121.01984219999999937 14.65777899999999967, 121.01981949999999699 14.65792800000000007)",1000256711,16.6665
"LineString (120.99998200000000281 14.65745650000000033, 120.99989689999999598 14.65745700000000085)",1000261217,9.1671
"LineString (120.99989689999999598 14.65745700000000085, 120.99926159999999697 14.65746069999999968)",1000261218,68.4356
"LineString (121.0005079999999964 14.6574535000000008, 120.99998200000000281 14.65745650000000033)",1000261219,56.6616
"LineString (121.05462389999999573 14.61202079999999981, 121.05449409999999943 14.6124054000000001)",1000268861,44.7931
"LineString (121.05223800000000267 14.61714740000000035, 121.05101820000000146 14.61979260000000025, 121.05088960000000498 14.62007539999999928, 121.05062379999999678 14.62065989999999971)",1000269008,425.779
"LineString (121.01882940000000133 14.65779960000000059, 121.01748510000000181 14.65776280000000042)",1000286465,144.8647
"LineString (121.01748510000000181 14.65776280000000042, 121.01598490000000652 14.65773989999999927)",1000286466,161.6209
"LineString (121.01598490000000652 14.65773989999999927, 121.01576350000000559 14.65773480000000006)",1000286467,23.8558
